Word,Actual Synonym,Predicted Synonym,Correct/Incorrect/Guess
enormously,tremendously,injurer,incorrect
provisions,stipulations,regulations,incorrect
haphazardly,randomly,N/A,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,culminating,incorrect
flawed,imperfect,N/A,guess
urgently,desperately,barbam,incorrect
consumed,eaten,eaten,correct
advent,coming,degraded,incorrect
concisely,succinctly,dummy,incorrect
salutes,greetings,tents,incorrect
solitary,alone,dwelling,incorrect
hasten,accelerate,renew,incorrect
perseverance,endurance,adroitness,incorrect
fanciful,imaginative,allegory,incorrect
showed,demonstrated,exhibited,incorrect
constantly,continually,continually,correct
issues,subjects,receives,incorrect
furnish,supply,afford,incorrect
costly,expensive,ornaments,incorrect
recognized,acknowledged,admitted,incorrect
spot,location,hut,incorrect
make,earn,making,incorrect
often,frequently,frequently,correct
easygoing,relaxed,N/A,guess
debate,argument,debates,incorrect
narrow,thin,outer,incorrect
arranged,planned,balls,incorrect
infinite,limitless,universe,incorrect
showy,striking,corolla,incorrect
levied,imposed,dues,incorrect
deftly,skillfully,handkerchiefs,incorrect
distribute,circulate,format,incorrect
discrepancies,differences,flammermont,incorrect
prolific,productive,oratorios,incorrect
unmatched,unequaled,warenne,incorrect
peculiarly,uniquely,abnormal,incorrect
hue,color,greenish,incorrect
hind,rear,claws,incorrect
highlight,accentuate,N/A,guess
hastily,hurriedly,élise,incorrect
temperate,mild,tropical,incorrect
grin,smile,scratch,incorrect
verbally,orally,volontaires,incorrect
physician,doctor,medicine,incorrect
essentially,basically,complex,incorrect
keen,sharp,intense,incorrect
situated,positioned,nw,incorrect
principal,major,chief,incorrect
slowly,gradually,pacing,incorrect
built,constructed,erected,incorrect
tasks,jobs,fretty,incorrect
unlikely,improbable,suggest,incorrect
halfheartedly,apathetically,N/A,guess
annals,chronicles,exploits,incorrect
wildly,furiously,panting,incorrect
hailed,acclaimed,welcomed,incorrect
command,mastery,commander,incorrect
concocted,devised,poinsett,incorrect
prospective,potential,elections,incorrect
generally,broadly,usually,incorrect
sustained,prolonged,incompetency,incorrect
perilous,dangerous,fearful,incorrect
tranquillity,peacefulness,peace,incorrect
dissipate,disperse,sorrowful,incorrect
primarily,chiefly,trusts,incorrect
colloquial,conversational,fluently,incorrect
resolved,settled,compelled,incorrect
feasible,possible,crystallize,incorrect
expeditiously,rapidly,amble,incorrect
percentage,proportion,fraction,incorrect
terminated,ended,ended,correct
uniform,alike,measurement,incorrect
figure,solve,tall,incorrect
sufficient,enough,enable,incorrect
fashion,manner,fashions,incorrect
marketed,sold,cordierite,incorrect
bigger,larger,bit,incorrect
roots,origins,stems,incorrect
normally,ordinarily,longitudinally,incorrect
