Word,Actual Synonym,Predicted Synonym,Correct/Incorrect/Guess
enormously,tremendously,rapidity,incorrect
provisions,stipulations,regulations,incorrect
haphazardly,randomly,N/A,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,risen,incorrect
flawed,imperfect,N/A,guess
urgently,desperately,diderot,incorrect
consumed,eaten,consume,incorrect
advent,coming,paganism,incorrect
concisely,succinctly,integrals,incorrect
salutes,greetings,troop,incorrect
solitary,alone,lonely,incorrect
hasten,accelerate,renew,incorrect
perseverance,endurance,adroitness,incorrect
fanciful,imaginative,conventional,incorrect
showed,demonstrated,manifested,incorrect
constantly,continually,continually,correct
issues,subjects,receives,incorrect
furnish,supply,afford,incorrect
costly,expensive,ornaments,incorrect
recognized,acknowledged,acknowledged,correct
spot,location,shadow,incorrect
make,earn,making,incorrect
often,frequently,frequently,correct
easygoing,relaxed,N/A,guess
debate,argument,debates,incorrect
narrow,thin,broad,incorrect
arranged,planned,selected,incorrect
infinite,limitless,sublime,incorrect
showy,striking,calyx,incorrect
levied,imposed,dues,incorrect
deftly,skillfully,handbag,incorrect
distribute,circulate,electronic,incorrect
discrepancies,differences,ussher,incorrect
prolific,productive,burlesques,incorrect
unmatched,unequaled,diopter,incorrect
peculiarly,uniquely,peculiar,incorrect
hue,color,greenish,incorrect
hind,rear,claws,incorrect
highlight,accentuate,N/A,guess
hastily,hurriedly,élise,incorrect
temperate,mild,tropical,incorrect
grin,smile,groan,incorrect
verbally,orally,pryson,incorrect
physician,doctor,doctor,correct
essentially,basically,complex,incorrect
keen,sharp,temperament,incorrect
situated,positioned,nw,incorrect
principal,major,chief,incorrect
slowly,gradually,pacing,incorrect
built,constructed,erected,incorrect
tasks,jobs,lafontaine,incorrect
unlikely,improbable,neronian,incorrect
halfheartedly,apathetically,N/A,guess
annals,chronicles,histories,incorrect
wildly,furiously,screams,incorrect
hailed,acclaimed,greeted,incorrect
command,mastery,commander,incorrect
concocted,devised,verzichteten,incorrect
prospective,potential,taxes,incorrect
generally,broadly,usually,incorrect
sustained,prolonged,endured,incorrect
perilous,dangerous,fearful,incorrect
tranquillity,peacefulness,peace,incorrect
dissipate,disperse,realisation,incorrect
primarily,chiefly,solely,incorrect
colloquial,conversational,vocabulary,incorrect
resolved,settled,compelled,incorrect
feasible,possible,exhaust,incorrect
expeditiously,rapidly,amble,incorrect
percentage,proportion,quantity,incorrect
terminated,ended,ended,correct
uniform,alike,density,incorrect
figure,solve,figures,incorrect
sufficient,enough,inadequate,incorrect
fashion,manner,fashions,incorrect
marketed,sold,timber,incorrect
bigger,larger,uneasily,incorrect
roots,origins,stems,incorrect
normally,ordinarily,occipital,incorrect
