Word,Actual Synonym,Predicted Synonym,Correct/Incorrect/Guess
enormously,tremendously,diminished,incorrect
provisions,stipulations,sale,incorrect
haphazardly,randomly,N/A,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,risen,incorrect
flawed,imperfect,N/A,guess
urgently,desperately,juggle,incorrect
consumed,eaten,eaten,correct
advent,coming,decay,incorrect
concisely,succinctly,gyp,incorrect
salutes,greetings,soldiers,incorrect
solitary,alone,dwelling,incorrect
hasten,accelerate,resume,incorrect
perseverance,endurance,indomitable,incorrect
fanciful,imaginative,poetic,incorrect
showed,demonstrated,evinced,incorrect
constantly,continually,continually,correct
issues,subjects,receives,incorrect
furnish,supply,afford,incorrect
costly,expensive,ornaments,incorrect
recognized,acknowledged,acknowledged,correct
spot,location,hut,incorrect
make,earn,making,incorrect
often,frequently,frequently,correct
easygoing,relaxed,N/A,guess
debate,argument,debates,incorrect
narrow,thin,winding,incorrect
arranged,planned,tuned,incorrect
infinite,limitless,sublime,incorrect
showy,striking,bracts,incorrect
levied,imposed,dues,incorrect
deftly,skillfully,unlocked,incorrect
distribute,circulate,format,incorrect
discrepancies,differences,flammermont,incorrect
prolific,productive,oratorios,incorrect
unmatched,unequaled,uriel,incorrect
peculiarly,uniquely,sensibility,incorrect
hue,color,greenish,incorrect
hind,rear,claws,incorrect
highlight,accentuate,N/A,guess
hastily,hurriedly,tredwell,incorrect
temperate,mild,tropical,incorrect
grin,smile,shriek,incorrect
verbally,orally,volontaires,incorrect
physician,doctor,medicine,incorrect
essentially,basically,elements,incorrect
keen,sharp,temperament,incorrect
situated,positioned,nw,incorrect
principal,major,chief,incorrect
slowly,gradually,fro,incorrect
built,constructed,erected,incorrect
tasks,jobs,forgives,incorrect
unlikely,improbable,suggest,incorrect
halfheartedly,apathetically,N/A,guess
annals,chronicles,exploits,incorrect
wildly,furiously,exclamations,incorrect
hailed,acclaimed,greeted,incorrect
command,mastery,commander,incorrect
concocted,devised,berrien,incorrect
prospective,potential,nomination,incorrect
generally,broadly,usually,incorrect
sustained,prolonged,incompetency,incorrect
perilous,dangerous,raids,incorrect
tranquillity,peacefulness,allay,incorrect
dissipate,disperse,anxieties,incorrect
primarily,chiefly,trusts,incorrect
colloquial,conversational,languages,incorrect
resolved,settled,compelled,incorrect
feasible,possible,dispensed,incorrect
expeditiously,rapidly,amble,incorrect
percentage,proportion,amounts,incorrect
terminated,ended,ended,correct
uniform,alike,velocities,incorrect
figure,solve,tall,incorrect
sufficient,enough,enable,incorrect
fashion,manner,fashions,incorrect
marketed,sold,timber,incorrect
bigger,larger,uneasily,incorrect
roots,origins,stems,incorrect
normally,ordinarily,longitudinally,incorrect
